,0,0,0
119,2018-05-11T13:02:15.28,Christian_HS,Hello All :) /
120,2018-05-11T13:02:15.59,thempalator,#mdmd
121,2018-05-11T13:02:16.45,lightshad3z,just get over it 4Head
122,2018-05-11T13:02:16.61,Scilex96,HELLO EVERYONE
123,2018-05-11T13:02:17.52,cavemanlogik,amazHypers
124,2018-05-11T13:02:18.14,thempalator,Lel
125,2018-05-11T13:02:20.57,チョマ,@Scilex96 Hello amaz3
126,2018-05-11T13:02:20.70,epicdudeguyman,video LuL
127,2018-05-11T13:02:20.73,Scilex96,@Christian_HS HeyGuys
128,2018-05-11T13:02:25.33,Obfuscator7,LUL
129,2018-05-11T13:02:25.63,Scilex96,@チョマ danLove
130,2018-05-11T13:02:26.16,APlayerWithAVeryLongName,@amazhs slay the spire just updated
131,2018-05-11T13:02:27.61,99redballooonss,POGGERS
132,2018-05-11T13:02:29.49,Christian_HS,@Scilex96 HeyGuys
133,2018-05-11T13:02:30.52,Quindecile,JOUSTING SWORD OMEGALUL
134,2018-05-11T13:02:31.85,ynhagu,cheguei marido lindo
135,2018-05-11T13:02:32.06,Neonldas,4Head
136,2018-05-11T13:02:34.39,GuilleGarciam,react
137,2018-05-11T13:02:37.78,epicdudeguyman,PepeHands hes lonely dont bully
138,2018-05-11T13:02:38.19,pathetic_appl3,LUL
139,2018-05-11T13:02:38.97,Quindecile,rekt
140,2018-05-11T13:02:39.,Christian_HS,OMEGALUL @AmazHS
141,2018-05-11T13:02:39.90,legobimo,LUL
142,2018-05-11T13:02:40.60,99redballooonss,LUL
143,2018-05-11T13:02:41.04,Neonldas,OMEGALUL Better version
144,2018-05-11T13:02:41.30,Obfuscator7,trolled by youtube
145,2018-05-11T13:02:41.58,ace_attacker,@amazhs play thhe fishing cat
146,2018-05-11T13:02:41.79,suprise_party,ADS LUL
147,2018-05-11T13:02:41.87,berndma,OMEGALUL
148,2018-05-11T13:02:42.85,lightshad3z,OMEGALUL
149,2018-05-11T13:02:43.02,skadooah2,LUL
150,2018-05-11T13:02:43.02,Camille021,LUL
151,2018-05-11T13:02:43.86,zjt2000,LUL
152,2018-05-11T13:02:46.48,Kel_Ebek,OSFrog Clap
153,2018-05-11T13:02:48.17,fox3360,OMEGALUL
154,2018-05-11T13:02:50.84,GuilleGarciam,retire
155,2018-05-11T13:02:52.46,72oxDays,UNRELEVANT
156,2018-05-11T13:02:53.57,epicdudeguyman,OMEGALUL
157,2018-05-11T13:02:55.98,Christian_HS,"@AmazHS Me too, isn't it"
158,2018-05-11T13:02:56.50,チョマ,OMEGALUL
159,2018-05-11T13:02:57.23,Obfuscator7,OMEGALUL
160,2018-05-11T13:02:59.0,kevandaweeb,LUL
161,2018-05-11T13:02:59.19,GuilleGarciam,play
162,2018-05-11T13:03:03.54,anno4nymous,LUL
163,2018-05-11T13:03:06.12,Kel_Ebek,OMEGALUL that was great video amaz
164,2018-05-11T13:03:06.77,chrisselol,play rogue TriHard
165,2018-05-11T13:03:07.45,チョマ,Cheater LuL
166,2018-05-11T13:03:08.31,lightshad3z,THAT'S A CARD Kappa
167,2018-05-11T13:03:11.49,pathetic_appl3,JOUST MECHANIC OMEGALUL
168,2018-05-11T13:03:13.39,Gnoomgus,Not a card FeelsBadMan
169,2018-05-11T13:03:19.18,QUOTE_ME_IF_KRIPP_SALTY,repeat 😡
170,2018-05-11T13:03:20.87,epicdudeguyman,??? OMEGALUL
171,2018-05-11T13:03:22.07,チョマ,LuL
172,2018-05-11T13:03:22.18,Camille021,and dragon welp
173,2018-05-11T13:03:23.17,jajison,@amazhs played poker lately?
174,2018-05-11T13:03:24.15,Christian_HS,:)
175,2018-05-11T13:03:26.57,チョマ,Good job Ed LuL
176,2018-05-11T13:03:30.30,lightshad3z,"guys quote ""that's a card"" pls"
177,2018-05-11T13:03:31.09,72oxDays,@amazhs name a card with u
178,2018-05-11T13:03:32.52,skadooah2,?????
179,2018-05-11T13:03:37.34,notbadm,amazO amazO
180,2018-05-11T13:03:37.88,Talynpl,"@AmazHS New expansion of Darkest Dungeon coming soon, keep that in mind"
181,2018-05-11T13:03:38.24,zjt2000,10-3
182,2018-05-11T13:03:40.34,bails64,0-3
183,2018-05-11T13:03:41.16,notbadm,amazO
184,2018-05-11T13:03:41.56,Babyghostlier,HeyGuys Amaz char
185,2018-05-11T13:03:44.1,NightStalker_,1
186,2018-05-11T13:03:44.31,Babyghostlier,Chat*
187,2018-05-11T13:03:46.71,99redballooonss,0-3
188,2018-05-11T13:03:47.66,OsuSao,@チョマ Would you mind chaning my name on discord to Osusao? So I can go undercover POGGERS
189,2018-05-11T13:03:48.01,thempalator,OptimizePrime
190,2018-05-11T13:03:52.68,Survivors125,!stream
191,2018-05-11T13:03:52.83,StreamElements,Stream starts in: 23 hours 56 mins
192,2018-05-11T13:03:55.97,Rocket_to_uranus__,7-3
193,2018-05-11T13:03:58.34,PringlesPCant,Not paladin - 0-3 police incoming
194,2018-05-11T13:04:05.41,iZoly_,He played away all his money monkaS
195,2018-05-11T13:04:07.72,Gnoomgus,addicted monkaS
196,2018-05-11T13:04:10.47,Neonldas,gachiGASM
197,2018-05-11T13:04:11.73,zjt2000,THICC LUL
198,2018-05-11T13:04:15.40,チョマ,@OsuSao tag me there with name you would like
199,2018-05-11T13:04:17.51,Neonldas,FAT gachiGASM JUICY gachiGASM
200,2018-05-11T13:04:18.04,lightshad3z,gambling all sub money on poker monkaS
201,2018-05-11T13:04:23.51,nelson4hs,SeemsGood SeemsGood SeemsGood
202,2018-05-11T13:04:25.60,berndma,gachiGASM
203,2018-05-11T13:04:28.20,mrpenguin94,AMAZ Kreygasm
204,2018-05-11T13:04:38.5,Tinster101,P H A T . R I B S
205,2018-05-11T13:04:52.52,Neonldas,amazWow PepeHands
206,2018-05-11T13:04:55.92,Yasumino,PepeHands
207,2018-05-11T13:04:57.49,lightshad3z,billy Pepehands
208,2018-05-11T13:05:00.41,Randy_Randerson322,sudden betrayal is underrated
209,2018-05-11T13:05:02.71,elrohir11,!uptime
210,2018-05-11T13:05:02.88,StreamElements,"@elrohir11, amazhs has been streaming for 5 mins 4 secs"
211,2018-05-11T13:05:04.05,Tinster101,W OMEGALUL W
212,2018-05-11T13:05:11.15,radsrad,he's addicted chat monkaS
213,2018-05-11T13:05:15.3,Agera153,Pot? CiGrip
214,2018-05-11T13:05:16.72,epicdudeguyman,OMEGALUL
215,2018-05-11T13:05:17.34,stagbomber,pot monkaS
216,2018-05-11T13:05:18.83,Swaiper,a wasp found its way inside the apartment and my cat ran after it and I closed the door to let them battle it out. and when I opened the door the wasp was gone and now Im totally monkaS that its here somewhere hiding
217,2018-05-11T13:05:20.46,chipmunkee1337,damn
218,2018-05-11T13:05:20.69,glennji_is_with_u,monkaS
219,2018-05-11T13:05:21.00,Obfuscator7,RIP
220,2018-05-11T13:05:23.52,チョマ,monkaS
221,2018-05-11T13:05:23.79,epicdudeguyman,topdeck BabyRage
222,2018-05-11T13:05:24.79,kit432,OMEGALUL 9
223,2018-05-11T13:05:25.33,imarat,fox
224,2018-05-11T13:05:26.36,Tinster101,VapeNation
225,2018-05-11T13:05:26.44,lightshad3z,LOST TO RNG LUL
226,2018-05-11T13:05:26.84,Nurmat,FeelsBadMan
227,2018-05-11T13:05:29.95,72oxDays,@amazhs in casion or a dark backroom?
228,2018-05-11T13:05:30.49,iZoly_,monkaS
229,2018-05-11T13:05:31.97,berndma,OMEGALUL
230,2018-05-11T13:05:33.34,PringlesPCant,@AmazHS Its called mairuana and you should be more careful with your drugs
231,2018-05-11T13:05:33.93,FapNapz,@Swaiper Cat ate it monkaS
232,2018-05-11T13:05:34.28,Kel_Ebek,FeelsGoodMan Fox
233,2018-05-11T13:05:34.44,Supplycrate,that's disgusting DansGame
234,2018-05-11T13:05:35.94,Babyghostlier,POGGERS golden Billy!
235,2018-05-11T13:05:43.17,TheGrandTower,amazParrot faster chat !
236,2018-05-11T13:05:43.7,Babyghostlier,Golden Kappa check
237,2018-05-11T13:05:44.15,Supplycrate,sucked out NotLikeThis
238,2018-05-11T13:05:51.14,Swaiper,@FapNapz I hope not O_O
239,2018-05-11T13:05:53.68,チョマ,monkaS
240,2018-05-11T13:05:56.69,Nurmat,gachiGASM
241,2018-05-11T13:05:58.54,hegevik94,Always board clear
242,2018-05-11T13:05:58.67,doran5511,VoHiYo
243,2018-05-11T13:05:58.74,lightshad3z,monkaS
244,2018-05-11T13:05:59.40,berndma,PepeHands
245,2018-05-11T13:06:01.76,Christian_HS,PepeHands
246,2018-05-11T13:06:02.21,Kel_Ebek,FOK?
247,2018-05-11T13:06:02.95,iZoly_,PepeHands
248,2018-05-11T13:06:03.27,Neonldas,Back room? gachiGASM
249,2018-05-11T13:06:04.17,djahaha_,PepeHands
250,2018-05-11T13:06:05.73,Christian_HS,PogChamp
251,2018-05-11T13:06:06.0,Talynpl,"@AmazHS New expansion of Darkest Dungeon coming soon, keep that in mind"
252,2018-05-11T13:06:06.33,OffBeatOddity,PepeHands
253,2018-05-11T13:06:06.95,Kel_Ebek,PepeHands
254,2018-05-11T13:06:07.13,snariaz,PepeHands
255,2018-05-11T13:06:11.22,lightshad3z,PepeHands broke
256,2018-05-11T13:06:18.59,Dirtyharryce,@amazhs why do you rate yeti so high?
257,2018-05-11T13:06:21.91,kevandaweeb,FeelsBadMan
258,2018-05-11T13:06:26.60,grotek_ps,D:
259,2018-05-11T13:06:31.13,Konki,D:
260,2018-05-11T13:06:39.0,kylessn,yooo amaz up
261,2018-05-11T13:06:46.06,opasanioz,NOT golden
262,2018-05-11T13:06:47.08,kylessn,amazGasm
263,2018-05-11T13:06:51.07,チョマ,@kevandaweeb VoHiYo
264,2018-05-11T13:06:58.3,Jupii,tyo
265,2018-05-11T13:07:00.57,Jupii,ban me
266,2018-05-11T13:07:01.66,Christian_HS,:D
267,2018-05-11T13:07:05.48,チョマ,@Jupii never BibleThump
268,2018-05-11T13:07:05.65,Jupii,amazGun
269,2018-05-11T13:07:09.14,Thinkoff,CarlSmile
270,2018-05-11T13:07:09.50,Christian_HS,@Jupii PogChamp /
271,2018-05-11T13:07:14.59,Naccarat,@AmazHS Will you play draft on MTG Arena this weekend?
272,2018-05-11T13:07:15.12,kevandaweeb,monkaS
273,2018-05-11T13:07:15.59,epicdudeguyman,monkaS dont do it tyo
274,2018-05-11T13:07:17.14,Kel_Ebek,there is 5/5 for 4
275,2018-05-11T13:07:17.62,SebiMk,CoolStoryBob
276,2018-05-11T13:07:18.06,Talynpl,PepeHands
277,2018-05-11T13:07:19.21,Babyghostlier,Yeti will alway stand the test of time
278,2018-05-11T13:07:20.68,Sullenx,gets killed by magma rager
279,2018-05-11T13:07:21.18,socksandbananas,!uptime
280,2018-05-11T13:07:21.2,leon200101,THE DARKNESS? 20/20
281,2018-05-11T13:07:21.38,StreamElements,"@socksandbananas, amazhs has been streaming for 7 mins 23 secs"
282,2018-05-11T13:07:21.84,tokyorules,DOESNT KILL 5/5 or 5/6
283,2018-05-11T13:07:31.96,Meteora0313,the best is 4 mana 7/7
284,2018-05-11T13:07:35.85,pimmie001,remeber the time when amaz was good in hearthstone? nether do I
285,2018-05-11T13:07:39.83,Viridis,doesnt kill 4 mana 7/7 Kappa
286,2018-05-11T13:07:40.88,SebiMk,turn 1 innervate coin yeti PepeHands
287,2018-05-11T13:07:44.72,Agera153,Best 4 drop is water elemental EZ
